task_pair,row_type,n,median_gt_pair_length_px,median_ordering_margin,flip_rate,gt_tie_rate,prediction_tie_rate,correspondence_swap_rate,direct_mre_px,pair_swapped_mre_px,swap_oracle_mre_px,oracle_gain_px,measurement_value_change_mean_abs,measurement_value_change_max_abs,measurement_mae_direct,measurement_mae_swapped,measurement_mae_change
A4C / LV_vertical,pair,92,217.889835637576,0.9900801362997075,0.0,0.0,0.0,0.0,16.276765747304594,224.80965971750885,16.276765747304594,0.0,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / LV_horizontal,pair,92,130.97109250157445,0.14691794959663068,0.6956521739130435,0.021739130434782608,0.0,0.6086956521739131,88.76185620418629,59.45703485466287,15.80185391891943,72.96000228526687,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / RV_vertical,pair,92,200.9060605471284,0.9787656732647358,0.0,0.0,0.0,0.0,20.159112900532612,204.42662153768805,20.159112900532612,0.0,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / RV_horizontal,pair,92,89.87707126299952,0.20412370008614122,0.14130434782608695,0.021739130434782608,0.0,0.14130434782608695,29.05144567449219,81.15256928216954,20.407753191247544,8.643692483244648,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / LA_vertical,pair,92,139.3701162928406,0.9754062090422363,0.0,0.0,0.0,0.0,18.172828158372692,138.21962922976272,18.172828158372692,0.0,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / LA_horizontal,pair,92,97.20544486776363,0.21523240825613554,0.043478260869565216,0.010869565217391304,0.0,0.16304347826086957,30.935833114203632,82.40746153489864,17.50723206582396,13.428601048379674,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / RA_vertical,pair,92,115.48603863307227,0.9833673066300205,0.010869565217391304,0.0,0.0,0.021739130434782608,19.888054780201998,112.87803620611,19.837431814774916,0.05062296542707741,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / RA_horizontal,pair,92,87.1184214421811,0.18007050965323984,0.40217391304347827,0.03260869565217391,0.0,0.41304347826086957,44.92824237651093,67.18170385010797,20.012126498617096,24.916115877893823,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / vertical aggregate,category,368,172.2881671580763,0.9835772560492863,0.002717391304347826,0.0,0.0,0.005434782608695652,18.624190396602973,170.0834866727674,18.611534655246206,0.012655741356769352,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / horizontal aggregate,category,368,99.56978894408945,0.18005097369600961,0.32065217391304346,0.021739130434782608,0.0,0.33152173913043476,48.41934434234826,72.54969238045976,18.43224141865201,29.98710292369625,0.0,0.0,14.941028480417021,14.941028480417021,0.0
A4C / all pairs,task,736,127.0208505030389,0.7234902982425742,0.16168478260869565,0.010869565217391304,0.0,0.16847826086956522,33.52176736947561,121.31658952661358,18.521888036949104,14.999879332526508,0.0,0.0,14.941028480417021,14.941028480417021,0.0
PSAX / RVOT,pair,43,82.79200021741231,0.864636001328885,0.0,0.0,0.0,0.0,32.54940364619963,89.91716907971156,32.54940364619963,0.0,0.0,0.0,22.79378932143791,22.79378932143791,0.0
PSAX / PA,pair,43,66.17573346779011,0.5485309739066372,0.4186046511627907,0.0,0.0,0.4418604651162791,66.30317547785066,75.6669228450715,55.426456853785325,10.876718624065326,0.0,0.0,22.79378932143791,22.79378932143791,0.0
PSAX / all pairs,task,86,76.29203912652748,0.7426958118476945,0.20930232558139536,0.0,0.0,0.22093023255813954,49.42628956202515,82.79204596239153,43.98793024999248,5.438359312032663,0.0,0.0,22.79378932143791,22.79378932143791,0.0
FA / axis_1,pair,500,389.5,1.0,0.0,0.0,0.0,0.0,13.915234701307982,396.7503920175019,13.915234701307982,0.0,0.0,0.0,51.1006974752437,51.1006974752437,0.0
FA / axis_2,pair,500,410.0,0.0,0.0,1.0,0.0,0.0,18.493523310091014,416.03369399025274,18.493523310091014,0.0,0.0,0.0,51.1006974752437,51.1006974752437,0.0
FA / all pairs,task,1000,400.0,0.5,0.0,0.5,0.0,0.0,16.204379005699497,406.3920430038773,16.204379005699497,0.0,0.0,0.0,51.1006974752437,51.1006974752437,0.0
FUGC / CL,pair,260,179.95519212814457,0.5595383633090116,0.007692307692307693,0.0,0.0,0.0038461538461538464,6.49444424419462,186.07401439682428,5.689286452052394,0.8051577921422257,0.0,0.0,4.019755932293209,4.019755932293209,0.0
HC / BPD_axis,pair,999,367.06947571270484,0.9961168841146257,0.0,0.0,0.0,0.009009009009009009,18.12970699338953,351.26700370283544,17.626413081692665,0.5032939116968663,0.0,0.0,19.656053604669648,19.656053604669648,0.0
HC / orthogonal_axis,pair,999,464.6342647717665,0.08831337698250957,0.15615615615615616,0.007007007007007007,0.0,0.007007007007007007,20.936448565437217,443.574568443149,20.455563950251026,0.4808846151861938,0.0,0.0,19.656053604669648,19.656053604669648,0.0
